fight_id,fight_date,a_fighter_name,b_fighter_name,a_odds,b_odds,chosen_side,chosen_prob,chosen_odds,edge,bet_placed
a003e8305d4dbdc8,2021-01-20,Viviane Araujo,Roxanne Modafferi,1.298507,3.6,a,0.7778,1.2985,0.0077,0
ac475de5a3d0d7e2,2021-01-20,Omari Akhmedov,Tom Breese,1.628931,2.28,b,0.7143,2.28,0.2757,1
ac475de5a3d0d7e2,2021-01-20,Tom Breese,Omari Akhmedov,1.628931,2.28,b,0.68,2.28,0.2414,1
d27ac1bc677b89cf,2021-01-20,Lerone Murphy,Douglas Silva de Andrade,1.327869,3.4,a,1.0,1.3279,0.2469,1
d27ac1bc677b89cf,2021-01-20,Douglas Silva de Andrade,Lerone Murphy,1.327869,3.4,b,1.0,3.4,0.7059,1
dd34dd337e637767,2021-01-20,Warlley Alves,Mounir Lazzez,1.434783,2.85,b,1.0,2.85,0.6491,1
dd34dd337e637767,2021-01-20,Mounir Lazzez,Warlley Alves,1.434783,2.85,a,0.6667,1.4348,-0.0303,0
ddbe6fd66d7f9e35,2021-01-20,Sumudaerji,Zarrukh Adashev,1.25,4.0,a,0.6667,1.25,-0.1333,0
ddbe6fd66d7f9e35,2021-01-20,Zarrukh Adashev,Sumudaerji,1.25,4.0,b,0.7143,4.0,0.4643,1
3d3e7dc7b4bf2bc4,2021-01-23,Dustin Poirier,Conor McGregor,3.5,1.327869,b,0.8333,1.3279,0.0802,1
3d3e7dc7b4bf2bc4,2021-01-23,Conor McGregor,Dustin Poirier,3.5,1.327869,a,0.8,3.5,0.5143,1
65352221c0bfe52d,2021-01-23,Andrew Sanchez,Makhmud Muradov,1.699301,2.15,b,1.0,2.15,0.5349,1
65352221c0bfe52d,2021-01-23,Makhmud Muradov,Andrew Sanchez,1.699301,2.15,a,1.0,1.6993,0.4115,1
83da743f6dda7dcc,2021-01-23,Julianna Pena,Sara McMann,2.05,1.769231,a,0.7143,2.05,0.2265,1
83da743f6dda7dcc,2021-01-23,Sara McMann,Julianna Pena,2.05,1.769231,b,0.7333,1.7692,0.1681,1
92f569a6d9374b86,2021-01-23,Brad Tavares,Antonio Carlos Junior,1.746269,2.05,a,0.6667,1.7463,0.094,1
92f569a6d9374b86,2021-01-23,Antonio Carlos Junior,Brad Tavares,1.746269,2.05,b,0.6757,2.05,0.1879,1
aaf45b095452be23,2021-01-23,Amir Albazi,Zhalgas Zhumagulov,1.847458,1.943396,a,1.0,1.8475,0.4587,1
aaf45b095452be23,2021-01-23,Zhalgas Zhumagulov,Amir Albazi,1.847458,1.943396,b,1.0,1.9434,0.4854,1
c597fd8bb66d54d8,2021-01-23,Khalil Rountree Jr.,Marcin Prachnio,3.5,1.298507,a,0.5,3.5,0.2143,1
c597fd8bb66d54d8,2021-01-23,Marcin Prachnio,Khalil Rountree Jr.,3.5,1.298507,b,0.4706,1.2985,-0.2995,0
cd08b68f0bafafbf,2021-01-23,Marina Rodriguez,Amanda Ribas,1.298507,3.5,b,1.0,3.5,0.7143,1
cd08b68f0bafafbf,2021-01-23,Amanda Ribas,Marina Rodriguez,1.298507,3.5,a,0.8889,1.2985,0.1188,1
f3ccbfd7036f3cf3,2021-01-23,Nik Lentz,Movsar Evloev,4.9,1.178571,b,1.0,1.1786,0.1515,1
f3ccbfd7036f3cf3,2021-01-23,Movsar Evloev,Nik Lentz,4.9,1.178571,a,1.0,4.9,0.7959,1
86d6e09932c5b551,2021-02-06,SeungWoo Choi,Youssef Zalal,1.434783,2.75,b,0.75,2.75,0.3864,1
86d6e09932c5b551,2021-02-06,Youssef Zalal,SeungWoo Choi,1.434783,2.75,a,0.6667,1.4348,-0.0303,0
8b9bdacca749ec90,2021-02-06,Alistair Overeem,Alexander Volkov,1.549451,2.5,b,0.75,2.5,0.35,1
8b9bdacca749ec90,2021-02-06,Alexander Volkov,Alistair Overeem,1.549451,2.5,a,0.7647,1.5495,0.1193,1
9ef858837dfc65eb,2021-02-06,Cory Sandhagen,Frankie Edgar,1.25,4.0,a,0.8571,1.25,0.0571,1
9ef858837dfc65eb,2021-02-06,Frankie Edgar,Cory Sandhagen,1.25,4.0,b,0.8667,4.0,0.6167,1
af8ea6db042674ef,2021-02-06,Mike Rodriguez,Danilo Marques,1.416667,2.88,b,1.0,2.88,0.6528,1
af8ea6db042674ef,2021-02-06,Danilo Marques,Mike Rodriguez,1.416667,2.88,a,1.0,1.4167,0.2941,1
bbade63ca780668f,2021-02-06,Diego Ferreira,Beneil Dariush,2.05,1.8,a,0.8,2.05,0.3122,1
bbade63ca780668f,2021-02-06,Beneil Dariush,Diego Ferreira,2.05,1.8,a,0.7714,2.05,0.2836,1
d65da3a3bc675449,2021-02-06,Molly McCann,Lara Procopio,1.564972,2.4,a,0.6,1.565,-0.039,0
d65da3a3bc675449,2021-02-06,Lara Procopio,Molly McCann,1.564972,2.4,b,0.5455,2.4,0.1288,1
f4fbb11055301e75,2021-02-06,Michael Johnson,Clay Guida,1.444444,2.75,b,0.5172,2.75,0.1536,1
f4fbb11055301e75,2021-02-06,Clay Guida,Michael Johnson,1.444444,2.75,a,0.5254,1.4444,-0.1669,0
17616514e8fdacb9,2021-02-13,Polyana Viana,Mallory Martin,1.869565,2.0,b,0.5,2.0,0.0,0
17616514e8fdacb9,2021-02-13,Mallory Martin,Polyana Viana,1.869565,2.0,b,0.4545,2.0,-0.0455,0
25b8c932da5e91f4,2021-02-13,Maycee Barber,Alexa Grasso,1.934579,1.934579,a,0.75,1.9346,0.2331,1
25b8c932da5e91f4,2021-02-13,Alexa Grasso,Maycee Barber,1.934579,1.934579,b,0.6667,1.9346,0.1498,1
26fbf026beb8e9f8,2021-02-13,Kelvin Gastelum,Ian Heinisch,2.74,1.487805,a,0.625,2.74,0.26,1
26fbf026beb8e9f8,2021-02-13,Ian Heinisch,Kelvin Gastelum,2.74,1.487805,b,0.6364,1.4878,-0.0358,0
54e2490959f66dc2,2021-02-13,Ricky Simon,Brian Kelleher,1.395257,3.1,a,0.7143,1.3953,-0.0024,0
54e2490959f66dc2,2021-02-13,Brian Kelleher,Ricky Simon,1.395257,3.1,b,0.7333,3.1,0.4108,1
8cf076524cad5a55,2021-02-13,Belal Muhammad,Dhiego Lima,1.223714,4.4,a,0.7273,1.2237,-0.0899,0
8cf076524cad5a55,2021-02-13,Dhiego Lima,Belal Muhammad,1.223714,4.4,b,0.7391,4.4,0.5119,1
9201312dd860fa5a,2021-02-13,Maki Pitolo,Julian Marquez,2.45,1.564972,b,0.5,1.565,-0.139,0
9201312dd860fa5a,2021-02-13,Julian Marquez,Maki Pitolo,2.45,1.564972,a,0.6,2.45,0.1918,1
96b1430379c0694a,2021-02-13,Rodolfo Vieira,Anthony Hernandez,4.65,1.205339,a,1.0,4.65,0.7849,1
96b1430379c0694a,2021-02-13,Anthony Hernandez,Rodolfo Vieira,4.65,1.205339,b,0.8,1.2053,-0.0296,0
be94e5b7a35ce5f2,2021-02-13,Kamaru Usman,Gilbert Burns,3.28,1.359712,a,1.0,3.28,0.6951,1
be94e5b7a35ce5f2,2021-02-13,Gilbert Burns,Kamaru Usman,3.28,1.359712,b,1.0,1.3597,0.2646,1
f98e954823bd6e02,2021-02-13,Andre Ewell,Chris Gutierrez,1.775194,2.12,b,0.75,2.12,0.2783,1
f98e954823bd6e02,2021-02-13,Chris Gutierrez,Andre Ewell,1.775194,2.12,a,0.7778,1.7752,0.2145,1
05ceb8b2f93993a6,2021-02-20,Phil Hawes,Nassourdine Imavov,1.8,1.952381,a,1.0,1.8,0.4444,1
05ceb8b2f93993a6,2021-02-20,Nassourdine Imavov,Phil Hawes,1.8,1.952381,b,1.0,1.9524,0.4878,1
15b1c7ddc4415fdd,2021-02-20,Andrei Arlovski,Tom Aspinall,3.0,1.377358,b,1.0,1.3774,0.274,1
15b1c7ddc4415fdd,2021-02-20,Tom Aspinall,Andrei Arlovski,3.0,1.377358,a,1.0,3.0,0.6667,1
82243207b4dfce87,2021-02-20,Charles Rosa,Darrick Minner,2.5,1.526316,a,0.5,2.5,0.1,1
82243207b4dfce87,2021-02-20,Darrick Minner,Charles Rosa,2.5,1.526316,a,0.6,2.5,0.2,1
8f7328fe18806fb0,2021-02-20,Aleksei Oleinik,Chris Daukaus,2.4,1.564972,b,1.0,1.565,0.361,1
8f7328fe18806fb0,2021-02-20,Chris Daukaus,Aleksei Oleinik,2.4,1.564972,a,1.0,2.4,0.5833,1
931fd51ab69fb443,2021-02-20,Jared Gordon,Danny Chavez,1.719424,2.1,b,1.0,2.1,0.5238,1
931fd51ab69fb443,2021-02-20,Danny Chavez,Jared Gordon,1.719424,2.1,a,0.6667,1.7194,0.0851,1
990c2378caec68d4,2021-02-20,Eddie Wineland,John Castaneda,1.8,2.0,a,0.4286,1.8,-0.127,0
990c2378caec68d4,2021-02-20,John Castaneda,Eddie Wineland,1.8,2.0,b,0.4138,2.0,-0.0862,0
a4814d682954e8ab,2021-02-20,Ketlen Vieira,Yana Santos,3.15,1.359712,a,0.8333,3.15,0.5159,1
a4814d682954e8ab,2021-02-20,Yana Santos,Ketlen Vieira,3.15,1.359712,b,0.7692,1.3597,0.0338,1
b12bc15f384ecc42,2021-02-20,Curtis Blaydes,Derrick Lewis,4.0,1.25,a,0.8182,4.0,0.5682,1
b12bc15f384ecc42,2021-02-20,Derrick Lewis,Curtis Blaydes,4.0,1.25,b,0.7826,1.25,-0.0174,0
e175c1a0bff30187,2021-02-20,Nate Landwehr,Julian Erosa,1.892857,1.892857,a,0.5,1.8929,-0.0283,0
e175c1a0bff30187,2021-02-20,Julian Erosa,Nate Landwehr,1.892857,1.892857,b,0.4,1.8929,-0.1283,0
3a4e2dffcdd1c838,2021-02-27,Nikita Krylov,Magomed Ankalaev,3.5,1.333333,b,0.8333,1.3333,0.0833,1
3a4e2dffcdd1c838,2021-02-27,Magomed Ankalaev,Nikita Krylov,3.5,1.333333,a,0.8462,3.5,0.5604,1
3eac2d47ac252f4b,2021-02-27,Alexander Hernandez,Thiago Moises,1.454545,2.8,a,0.6667,1.4545,-0.0208,0
3eac2d47ac252f4b,2021-02-27,Thiago Moises,Alexander Hernandez,1.454545,2.8,a,0.6364,1.4545,-0.0511,0
4a704dae3091adaf,2021-02-27,Jairzinho Rozenstruik,Ciryl Gane,2.85,1.444444,b,1.0,1.4444,0.3077,1
4a704dae3091adaf,2021-02-27,Ciryl Gane,Jairzinho Rozenstruik,2.85,1.444444,a,1.0,2.85,0.6491,1
6a0341234ecc4e87,2021-02-27,Kevin Croom,Alex Caceres,2.3,1.666667,b,0.5556,1.6667,-0.0444,0
a7315147a7022a93,2021-02-27,Alexis Davis,Sabina Mazo,2.78,1.465116,b,0.75,1.4651,0.0675,1
a7315147a7022a93,2021-02-27,Sabina Mazo,Alexis Davis,2.78,1.465116,a,0.6667,2.78,0.307,1
bc86601cf781a89c,2021-02-27,Dustin Jacoby,Maxim Grishin,2.37,1.636943,b,0.5,1.6369,-0.1109,0
bc86601cf781a89c,2021-02-27,Maxim Grishin,Dustin Jacoby,2.37,1.636943,b,0.4286,1.6369,-0.1823,0
c2ee423d1f0b4f6f,2021-02-27,Pedro Munhoz,Jimmie Rivera,2.15,1.740741,b,0.7,1.7407,0.1255,1
c2ee423d1f0b4f6f,2021-02-27,Jimmie Rivera,Pedro Munhoz,2.15,1.740741,a,0.6667,2.15,0.2016,1
04a788abbbd1f256,2021-03-06,Thiago Santos,Aleksandar Rakic,1.540541,2.6,b,0.8333,2.6,0.4487,1
04a788abbbd1f256,2021-03-06,Aleksandar Rakic,Thiago Santos,1.540541,2.6,a,0.8462,1.5405,0.197,1
15c9cb5f9320c555,2021-03-06,Petr Yan,Aljamain Sterling,2.02,1.819672,a,1.0,2.02,0.505,1
15c9cb5f9320c555,2021-03-06,Aljamain Sterling,Petr Yan,2.02,1.819672,b,0.9333,1.8197,0.3838,1
2704d31de2c2f43b,2021-03-06,Tim Elliott,Jordan Espinosa,2.35,1.645161,b,0.4,1.6452,-0.2078,0
2704d31de2c2f43b,2021-03-06,Jordan Espinosa,Tim Elliott,2.35,1.645161,b,0.3793,1.6452,-0.2285,0
50ef636148fa6fac,2021-03-06,Livinha Souza,Amanda Lemos,1.416667,3.0,a,0.75,1.4167,0.0441,1
50ef636148fa6fac,2021-03-06,Amanda Lemos,Livinha Souza,1.416667,3.0,a,0.7143,1.4167,0.0084,0
5980ab31e4718a83,2021-03-06,Song Yadong,Kyler Phillips,2.8,1.454545,a,1.0,2.8,0.6429,1
5980ab31e4718a83,2021-03-06,Kyler Phillips,Song Yadong,2.8,1.454545,a,1.0,2.8,0.6429,1
7ad09f889d2cdb6f,2021-03-06,Sean Brady,Jake Matthews,1.454545,2.8,a,1.0,1.4545,0.3125,1
7ad09f889d2cdb6f,2021-03-06,Jake Matthews,Sean Brady,1.454545,2.8,b,1.0,2.8,0.6429,1
7de9867b7cc2b1b1,2021-03-06,Jan Blachowicz,Israel Adesanya,1.408163,3.05,b,1.0,3.05,0.6721,1
7de9867b7cc2b1b1,2021-03-06,Israel Adesanya,Jan Blachowicz,1.408163,3.05,a,0.9474,1.4082,0.2372,1
873306ad79b62f5e,2021-03-06,Rogerio Bontorin,Kai Kara-France,2.17,1.729927,a,0.6667,2.17,0.2058,1
873306ad79b62f5e,2021-03-06,Kai Kara-France,Rogerio Bontorin,2.17,1.729927,a,0.6923,2.17,0.2315,1
ae5d14a9fc1ad19c,2021-03-06,Joseph Benavidez,Askar Askarov,2.25,1.689655,b,1.0,1.6897,0.4082,1
ae5d14a9fc1ad19c,2021-03-06,Askar Askarov,Joseph Benavidez,2.25,1.689655,a,1.0,2.25,0.5556,1
c06d7bb29bc24d00,2021-03-06,Islam Makhachev,Drew Dober,1.217391,4.65,a,0.875,1.2174,0.0536,1
c06d7bb29bc24d00,2021-03-06,Drew Dober,Islam Makhachev,1.217391,4.65,b,0.8824,4.65,0.6673,1
c096342c57a6f2c4,2021-03-06,Trevin Jones,Mario Bautista,1.416667,3.0,a,1.0,1.4167,0.2941,1
f4363f1317b47213,2021-03-06,Dominick Cruz,Casey Kenney,2.2,1.714286,b,0.8333,1.7143,0.25,1
f4363f1317b47213,2021-03-06,Casey Kenney,Dominick Cruz,2.2,1.714286,a,0.7692,2.2,0.3147,1
fd92fe0c494d0959,2021-03-06,Amanda Nunes,Megan Anderson,1.142857,6.0,a,0.9286,1.1429,0.0536,1
fd92fe0c494d0959,2021-03-06,Megan Anderson,Amanda Nunes,1.142857,6.0,b,0.931,6.0,0.7644,1
01f262b68a6a2223,2021-03-13,Manel Kape,Matheus Nicolau,2.1,1.769231,b,0.75,1.7692,0.1848,1
01f262b68a6a2223,2021-03-13,Matheus Nicolau,Manel Kape,2.1,1.769231,a,0.7778,2.1,0.3016,1
03bdbf2d18f3025d,2021-03-13,Rani Yahya,Ray Rodriguez,3.3,1.37037,a,0.7333,3.3,0.4303,1
03bdbf2d18f3025d,2021-03-13,Ray Rodriguez,Rani Yahya,3.3,1.37037,b,0.7419,1.3704,0.0122,0
18c67631b76c18e5,2021-03-13,Angela Hill,Ashley Yoder,3.7,1.30303,a,0.4375,3.7,0.1672,1
18c67631b76c18e5,2021-03-13,Ashley Yoder,Angela Hill,3.7,1.30303,b,0.4545,1.303,-0.3129,0
4944437e73071671,2021-03-13,Misha Cirkunov,Ryan Spann,1.8,2.05,b,0.8,2.05,0.3122,1
4944437e73071671,2021-03-13,Ryan Spann,Misha Cirkunov,1.8,2.05,a,0.8182,1.8,0.2626,1
70aa6b8f863e6861,2021-03-13,Jonathan Martinez,Davey Grant,3.5,1.333333,a,0.6667,3.5,0.381,1
70aa6b8f863e6861,2021-03-13,Davey Grant,Jonathan Martinez,3.5,1.333333,b,0.6154,1.3333,-0.1346,0
d0ebb0551377a1c1,2021-03-13,Matthew Semelsberger,Jason Witt,1.769231,2.1,a,1.0,1.7692,0.4348,1
d0ebb0551377a1c1,2021-03-13,Jason Witt,Matthew Semelsberger,1.769231,2.1,b,1.0,2.1,0.5238,1
d15a87087b6f1452,2021-03-13,Dan Ige,Gavin Tucker,1.526316,2.65,b,0.8,2.65,0.4226,1
d15a87087b6f1452,2021-03-13,Gavin Tucker,Dan Ige,1.526316,2.65,b,0.7647,2.65,0.3873,1
e8adfbbe0053c321,2021-03-13,Cortney Casey,JJ Aldrich,2.22,1.704225,b,0.5714,1.7042,-0.0153,0
e8adfbbe0053c321,2021-03-13,JJ Aldrich,Cortney Casey,2.22,1.704225,a,0.6,2.22,0.1495,1
2efbcd870f1f7bc7,2021-03-20,Derek Brunson,Kevin Holland,1.47619,2.75,b,0.8,2.75,0.4364,1
2efbcd870f1f7bc7,2021-03-20,Kevin Holland,Derek Brunson,1.47619,2.75,a,0.7619,1.4762,0.0845,1
68cf99b6551dc3b3,2021-03-20,Trevin Giles,Roman Dolidze,1.952381,1.869565,b,1.0,1.8696,0.4651,1
68cf99b6551dc3b3,2021-03-20,Roman Dolidze,Trevin Giles,1.952381,1.869565,a,0.8,1.9524,0.2878,1
a043e279434d5c8c,2021-03-20,Leonardo Santos,Grant Dawson,1.540541,2.6,a,1.0,1.5405,0.3509,1
a043e279434d5c8c,2021-03-20,Grant Dawson,Leonardo Santos,1.540541,2.6,a,1.0,1.5405,0.3509,1
afc86d1076c4c3a9,2021-03-20,Adrian Yanez,Gustavo Lopez,1.465116,2.78,a,1.0,1.4651,0.3175,1
afc86d1076c4c3a9,2021-03-20,Gustavo Lopez,Adrian Yanez,1.465116,2.78,b,1.0,2.78,0.6403,1
dcfbbebc0aee6ded,2021-03-20,Marion Reneau,Macy Chiasson,1.444444,2.85,b,0.8,2.85,0.4491,1
dcfbbebc0aee6ded,2021-03-20,Macy Chiasson,Marion Reneau,1.444444,2.85,a,0.8182,1.4444,0.1259,1
edac9fd482177a64,2021-03-20,Song Kenan,Max Griffin,2.65,1.526316,a,0.8,2.65,0.4226,1
edac9fd482177a64,2021-03-20,Max Griffin,Song Kenan,2.65,1.526316,b,0.7273,1.5263,0.0721,1
0aa335dbc4cb3473,2021-03-27,Sean O'Malley,Thomas Almeida,4.1,1.27027,a,0.8,4.1,0.5561,1
0aa335dbc4cb3473,2021-03-27,Thomas Almeida,Sean O'Malley,4.1,1.27027,b,0.8182,1.2703,0.0309,1
2220b73ece1730c3,2021-03-27,Shane Young,Omar Morales,2.7,1.5,b,0.6667,1.5,0.0,0
2220b73ece1730c3,2021-03-27,Omar Morales,Shane Young,2.7,1.5,a,0.7143,2.7,0.3439,1
390694c179f05c7f,2021-03-27,Jamie Mullarkey,Khama Worthy,1.740741,2.15,b,0.6667,2.15,0.2016,1
390694c179f05c7f,2021-03-27,Khama Worthy,Jamie Mullarkey,1.740741,2.15,a,0.5714,1.7407,-0.003,0
39d188fa9b95d550,2021-03-27,Tyron Woodley,Vicente Luque,1.5,2.7,b,0.8,2.7,0.4296,1
39d188fa9b95d550,2021-03-27,Vicente Luque,Tyron Woodley,1.5,2.7,a,0.8065,1.5,0.1398,1
41622791b276ad9e,2021-03-27,Marc-Andre Barriault,Abu Azaitar,2.07,1.787402,b,1.0,1.7874,0.4405,1
41622791b276ad9e,2021-03-27,Abu Azaitar,Marc-Andre Barriault,2.07,1.787402,a,0.6667,2.07,0.1836,1
4b3af85b0df51d09,2021-03-27,Jared Gooden,Abubakar Nurmagomedov,1.47619,2.75,a,0.5,1.4762,-0.1774,0
4b3af85b0df51d09,2021-03-27,Abubakar Nurmagomedov,Jared Gooden,1.47619,2.75,a,0.3333,1.4762,-0.3441,0
6002c24f0b7f8cc7,2021-03-27,Modestas Bukauskas,Michal Oleksiejczuk,1.564972,2.57,a,0.5,1.565,-0.139,0
6002c24f0b7f8cc7,2021-03-27,Michal Oleksiejczuk,Modestas Bukauskas,1.564972,2.57,a,0.5556,1.565,-0.0834,0
8317208cfb030ed3,2021-03-27,Gillian Robertson,Miranda Maverick,2.25,1.689655,b,1.0,1.6897,0.4082,1
8317208cfb030ed3,2021-03-27,Miranda Maverick,Gillian Robertson,2.25,1.689655,a,1.0,2.25,0.5556,1
b1eff235241e719b,2021-03-27,Stipe Miocic,Francis Ngannou,1.729927,2.17,b,0.8333,2.17,0.3725,1
b1eff235241e719b,2021-03-27,Francis Ngannou,Stipe Miocic,1.729927,2.17,a,0.84,1.7299,0.2619,1
0992795fd0fa06d0,2021-04-10,Nina Nunes,Mackenzie Dern,2.0,1.833333,b,0.8333,1.8333,0.2879,1
0992795fd0fa06d0,2021-04-10,Mackenzie Dern,Nina Nunes,2.0,1.833333,a,0.8462,2.0,0.3462,1
1fee9eca658d9808,2021-04-10,Hunter Azure,Jack Shore,2.6,1.540541,b,1.0,1.5405,0.3509,1
1fee9eca658d9808,2021-04-10,Jack Shore,Hunter Azure,2.6,1.540541,a,1.0,2.6,0.6154,1
3209bcfaf95de90b,2021-04-10,Impa Kasanganay,Sasha Palatnikov,1.4,3.1,b,1.0,3.1,0.6774,1
3209bcfaf95de90b,2021-04-10,Sasha Palatnikov,Impa Kasanganay,1.4,3.1,a,0.6667,1.4,-0.0476,0
444f0a732695dc81,2021-04-10,Yorgan De Castro,Jarjis Danho,1.322581,3.55,a,0.3333,1.3226,-0.4228,0
444f0a732695dc81,2021-04-10,Jarjis Danho,Yorgan De Castro,1.322581,3.55,a,0.3333,1.3226,-0.4228,0
646eeca9447c6965,2021-04-10,Sam Alvey,Julian Marquez,1.689655,2.25,b,0.6667,2.25,0.2222,1
646eeca9447c6965,2021-04-10,Julian Marquez,Sam Alvey,1.689655,2.25,a,0.7143,1.6897,0.1224,1
71b81d8199a0fa19,2021-04-10,Arnold Allen,Sodiq Yusuff,2.35,1.645161,a,1.0,2.35,0.5745,1
71b81d8199a0fa19,2021-04-10,Sodiq Yusuff,Arnold Allen,2.35,1.645161,b,1.0,1.6452,0.3922,1
998296216e7171ed,2021-04-10,Scott Holtzman,Mateusz Gamrot,1.444444,2.85,a,0.6364,1.4444,-0.0559,0
998296216e7171ed,2021-04-10,Mateusz Gamrot,Scott Holtzman,1.444444,2.85,b,0.6087,2.85,0.2578,1
ac9a8b73e58f3d71,2021-04-10,Mike Perry,Daniel Rodriguez,1.833333,2.0,b,0.75,2.0,0.25,1
ac9a8b73e58f3d71,2021-04-10,Daniel Rodriguez,Mike Perry,1.833333,2.0,a,0.7778,1.8333,0.2323,1
cd5d9828b278181a,2021-04-10,Da Woon Jung,William Knight,2.27,1.680272,a,1.0,2.27,0.5595,1
cd5d9828b278181a,2021-04-10,William Knight,Da Woon Jung,2.27,1.680272,b,1.0,1.6803,0.4049,1
ddd63237f1b857a6,2021-04-10,Marvin Vettori,Kevin Holland,3.45,1.344828,a,0.75,3.45,0.4601,1
ddd63237f1b857a6,2021-04-10,Kevin Holland,Marvin Vettori,3.45,1.344828,b,0.7647,1.3448,0.0211,0
e27c28928ed4390f,2021-04-10,Jim Miller,Joe Solecki,1.408163,3.05,b,1.0,3.05,0.6721,1
e27c28928ed4390f,2021-04-10,Joe Solecki,Jim Miller,1.408163,3.05,a,1.0,1.4082,0.2899,1
0b2c3c4306620d6d,2021-04-17,Tracy Cortez,Justine Kish,1.307692,3.65,a,1.0,1.3077,0.2353,1
0b2c3c4306620d6d,2021-04-17,Justine Kish,Tracy Cortez,1.307692,3.65,b,1.0,3.65,0.726,1
24ff385ca78c80d3,2021-04-17,Tony Gravely,Anthony Birchak,1.25641,4.2,a,0.5,1.2564,-0.2959,0
24ff385ca78c80d3,2021-04-17,Anthony Birchak,Tony Gravely,1.25641,4.2,b,0.6,4.2,0.3619,1
627c0a50cff30405,2021-04-17,Bartosz Fabinski,Gerald Meerschaert,2.05,1.8,a,0.6,2.05,0.1122,1
627c0a50cff30405,2021-04-17,Gerald Meerschaert,Bartosz Fabinski,2.05,1.8,b,0.5455,1.8,-0.0101,0
a33ecd2c88154890,2021-04-17,Luis Pena,Alexander Munoz,1.645161,2.35,a,0.5714,1.6452,-0.0364,0
a33ecd2c88154890,2021-04-17,Alexander Munoz,Luis Pena,1.645161,2.35,b,0.6,2.35,0.1745,1
a850ba762f3c5334,2021-04-17,Abdul Razak Alhassan,Jacob Malkoun,3.5,1.333333,a,0.5714,3.5,0.2857,1
